location_id,location_name,city,latitude,longitude,sensor_id,parameter,units,unit_priority
11607,"Lodhi Road, Delhi - IITM",Delhi,28.588333,77.221667,39437,co,µg/m³,0
11607,"Lodhi Road, Delhi - IITM",Delhi,28.588333,77.221667,39435,no2,µg/m³,0
11607,"Lodhi Road, Delhi - IITM",Delhi,28.588333,77.221667,39438,o3,µg/m³,0
11607,"Lodhi Road, Delhi - IITM",Delhi,28.588333,77.221667,39434,pm10,µg/m³,0
5755,"Major Dhyan Chand National Stadium, Delhi - DPCC",Delhi,28.6125027,77.2351994,15586,o3,µg/m³,0
5755,"Major Dhyan Chand National Stadium, Delhi - DPCC",Delhi,28.6125027,77.2351994,15549,pm10,µg/m³,0
5755,"Major Dhyan Chand National Stadium, Delhi - DPCC",Delhi,28.6125027,77.2351994,15551,pm25,µg/m³,0
5755,"Major Dhyan Chand National Stadium, Delhi - DPCC",Delhi,28.6125027,77.2351994,15587,so2,µg/m³,0
5759,"Sonia Vihar, Delhi - DPCC",Delhi,28.67795,77.29868,15568,co,µg/m³,0
5759,"Sonia Vihar, Delhi - DPCC",Delhi,28.67795,77.29868,15567,no2,µg/m³,0
5759,"Sonia Vihar, Delhi - DPCC",Delhi,28.67795,77.29868,15566,o3,µg/m³,0
5759,"Sonia Vihar, Delhi - DPCC",Delhi,28.67795,77.29868,15591,pm10,µg/m³,0
5759,"Sonia Vihar, Delhi - DPCC",Delhi,28.67795,77.29868,15595,pm25,µg/m³,0
5759,"Sonia Vihar, Delhi - DPCC",Delhi,28.67795,77.29868,15565,so2,µg/m³,0
5760,"Dwarka-Sector 8, Delhi - DPCC ",Delhi,28.5206826,76.8023871,15594,co,µg/m³,0
5743,"Rohini, Delhi - DPCC",Delhi,28.7407056,77.0577492,15504,so2,µg/m³,0
5744,"Dr. Karni Singh Shooting Range, Delhi - DPCC",Delhi,28.4997315,77.2649067,15510,co,µg/m³,0
5744,"Dr. Karni Singh Shooting Range, Delhi - DPCC",Delhi,28.4997315,77.2649067,15505,no2,µg/m³,0
5744,"Dr. Karni Singh Shooting Range, Delhi - DPCC",Delhi,28.4997315,77.2649067,15507,o3,µg/m³,0
5744,"Dr. Karni Singh Shooting Range, Delhi - DPCC",Delhi,28.4997315,77.2649067,15588,pm10,µg/m³,0
5761,"Jahangirpuri, Delhi - DPCC",Delhi,28.7258373,77.1605631,15578,co,µg/m³,0
5761,"Jahangirpuri, Delhi - DPCC",Delhi,28.7258373,77.1605631,15572,no2,µg/m³,0
5761,"Jahangirpuri, Delhi - DPCC",Delhi,28.7258373,77.1605631,15577,o3,µg/m³,0
5761,"Jahangirpuri, Delhi - DPCC",Delhi,28.7258373,77.1605631,15623,pm10,µg/m³,0
5761,"Jahangirpuri, Delhi - DPCC",Delhi,28.7258373,77.1605631,15621,pm25,µg/m³,0
5761,"Jahangirpuri, Delhi - DPCC",Delhi,28.7258373,77.1605631,15585,so2,µg/m³,0
5762,"Ashok Vihar, Delhi - DPCC",Delhi,28.6957202,77.1812947,15583,co,µg/m³,0
5762,"Ashok Vihar, Delhi - DPCC",Delhi,28.6957202,77.1812947,15584,no2,µg/m³,0
5762,"Ashok Vihar, Delhi - DPCC",Delhi,28.6957202,77.1812947,15573,o3,µg/m³,0
